Week_of_Year,Date,Board_Number,Site_Type,Board_Type,Species,Count,Daily_Precipitation,Weekly_Precipitation,Maximum_Temperature
37,9/11/18,39,Transitional Forest,Artificial,RB,1,0.4318,11.3284,18.33333333
37,9/11/18,40,Transitional Forest,Artificial,NA,0,0.4318,11.3284,18.33333333
38,9/18/18,1,Mature Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,2,Mature Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,3,Mature Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,4,Mature Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,5,Mature Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,6,Mature Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,7,Mature Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,8,Mature Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,9,Mature Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,10,Mature Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,11,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,11,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,12,Transitional Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,13,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,13,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,14,Transitional Forest,Natural,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,15,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,16,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,16,Transitional Forest,Natural,SS,1,0.4826,0.4826,20.55555556
38,9/18/18,17,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,18,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,18,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,18,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,19,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,19,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,19,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,20,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,20,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,20,Transitional Forest,Natural,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,21,Mature Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,22,Mature Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,23,Mature Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,24,Mature Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,25,Mature Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,26,Mature Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,27,Mature Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,28,Mature Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,29,Mature Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,30,Mature Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,31,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,32,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,32,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,33,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,34,Transitional Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,35,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,35,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,35,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,36,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,36,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,37,Transitional Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,38,Transitional Forest,Artificial,RB,1,0.4826,0.4826,20.55555556
38,9/18/18,39,Transitional Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
38,9/18/18,40,Transitional Forest,Artificial,NA,0,0.4826,0.4826,20.55555556
39,9/25/18,1,Mature Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,2,Mature Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,3,Mature Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,4,Mature Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,5,Mature Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,6,Mature Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,7,Mature Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,8,Mature Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,9,Mature Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,10,Mature Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,11,Transitional Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,12,Transitional Forest,Natural,NA,0,2.8194,3.5814,20
39,9/25/18,13,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,14,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,15,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,15,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,15,Transitional Forest,Natural,SS,1,2.8194,3.5814,20
39,9/25/18,16,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,16,Transitional Forest,Natural,SS,1,2.8194,3.5814,20
39,9/25/18,17,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,17,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,18,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,18,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,19,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,19,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,20,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,20,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,20,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,20,Transitional Forest,Natural,RB,1,2.8194,3.5814,20
39,9/25/18,21,Mature Forest,Artificial,NA,0,2.8194,3.5814,20
39,9/25/18,22,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,23,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,24,Mature Forest,Artificial,NA,0,2.8194,3.5814,20
39,9/25/18,25,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,26,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,26,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,26,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,27,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,28,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,29,Mature Forest,Artificial,NA,0,2.8194,3.5814,20
39,9/25/18,30,Mature Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,31,Transitional Forest,Artificial,NA,0,2.8194,3.5814,20
39,9/25/18,32,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,33,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,34,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,35,Transitional Forest,Artificial,NA,0,2.8194,3.5814,20
39,9/25/18,36,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,36,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,37,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,37,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,38,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,38,Transitional Forest,Artificial,SS,1,2.8194,3.5814,20
39,9/25/18,39,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
39,9/25/18,40,Transitional Forest,Artificial,RB,1,2.8194,3.5814,20
40,10/2/18,1,Mature Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,2,Mature Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,3,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,4,Mature Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,5,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,5,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,6,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,6,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,6,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,7,Mature Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,8,Mature Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,9,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,9,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,10,Mature Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,11,Transitional Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,12,Transitional Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,13,Transitional Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,14,Transitional Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,15,Transitional Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,16,Transitional Forest,Natural,SS,1,0.0254,0.2286,24.44444444
40,10/2/18,17,Transitional Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,18,Transitional Forest,Natural,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,19,Transitional Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,19,Transitional Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,20,Transitional Forest,Natural,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,21,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,22,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,23,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,24,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,25,Mature Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,26,Mature Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,26,Mature Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,27,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,28,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,29,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,30,Mature Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,31,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,32,Transitional Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,33,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,34,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,35,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,36,Transitional Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,36,Transitional Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
40,10/2/18,37,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,38,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,39,Transitional Forest,Artificial,NA,0,0.0254,0.2286,24.44444444
40,10/2/18,40,Transitional Forest,Artificial,RB,1,0.0254,0.2286,24.44444444
41,10/9/18,1,Mature Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,2,Mature Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,3,Mature Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,4,Mature Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,5,Mature Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,6,Mature Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,6,Mature Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,7,Mature Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,8,Mature Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,9,Mature Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,10,Mature Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,11,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,12,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,13,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,14,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,15,Transitional Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,16,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,17,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,18,Transitional Forest,Natural,FT,1,0,1.3208,28.88888889
41,10/9/18,18,Transitional Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,19,Transitional Forest,Natural,RB,1,0,1.3208,28.88888889
41,10/9/18,20,Transitional Forest,Natural,NA,0,0,1.3208,28.88888889
41,10/9/18,21,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,22,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,23,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,24,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,25,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,26,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,27,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,28,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,29,Mature Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,30,Mature Forest,Artificial,RB,1,0,1.3208,28.88888889
41,10/9/18,31,Transitional Forest,Artificial,RB,1,0,1.3208,28.88888889
41,10/9/18,32,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,33,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,34,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,35,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,36,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,37,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,38,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,39,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
41,10/9/18,40,Transitional Forest,Artificial,NA,0,0,1.3208,28.88888889
42,10/16/18,1,Mature Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,2,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,3,Mature Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,4,Mature Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,5,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,6,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,6,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,7,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,8,Mature Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,9,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,10,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,10,Mature Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,11,Transitional Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,12,Transitional Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,13,Transitional Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,14,Transitional Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,15,Transitional Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,16,Transitional Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,17,Transitional Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,18,Transitional Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,19,Transitional Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,19,Transitional Forest,Natural,RB,1,0.127,0.4572,12.77777778
42,10/16/18,20,Transitional Forest,Natural,NA,0,0.127,0.4572,12.77777778
42,10/16/18,21,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,22,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,23,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,24,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,25,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,26,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,27,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,28,Mature Forest,Artificial,RB,1,0.127,0.4572,12.77777778
42,10/16/18,29,Mature Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,30,Mature Forest,Artificial,RB,1,0.127,0.4572,12.77777778
42,10/16/18,30,Mature Forest,Artificial,RB,1,0.127,0.4572,12.77777778
42,10/16/18,31,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,32,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,33,Transitional Forest,Artificial,RB,1,0.127,0.4572,12.77777778
42,10/16/18,34,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,35,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,36,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,37,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,38,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,39,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
42,10/16/18,40,Transitional Forest,Artificial,NA,0,0.127,0.4572,12.77777778
43,10/23/18,1,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,2,Mature Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,3,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,4,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,5,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,6,Mature Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,6,Mature Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,7,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,8,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,9,Mature Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,10,Mature Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,11,Transitional Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,12,Transitional Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,13,Transitional Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,14,Transitional Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,15,Transitional Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,16,Transitional Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,17,Transitional Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,18,Transitional Forest,Natural,RB,1,0,0.9652,12.22222222
43,10/23/18,19,Transitional Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,20,Transitional Forest,Natural,NA,0,0,0.9652,12.22222222
43,10/23/18,21,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,22,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,23,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,24,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,25,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,26,Mature Forest,Artificial,RB,1,0,0.9652,12.22222222
43,10/23/18,27,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,28,Mature Forest,Artificial,RB,1,0,0.9652,12.22222222
43,10/23/18,29,Mature Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,30,Mature Forest,Artificial,RB,1,0,0.9652,12.22222222
43,10/23/18,31,Transitional Forest,Artificial,RB,1,0,0.9652,12.22222222
43,10/23/18,32,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,33,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,34,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,35,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,36,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,37,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
