"Week of Year","Date","Board Number","Abundance","Richness","Site Type","Board Type","Daily Precipitation","Maximum Temperature","Weekly Precipitation"
37,2018-09-11,36,2,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,37,1,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,38,1,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,39,4,1,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
37,2018-09-11,40,0,0,"Transitional Forest","Artificial",0.4318,18.3333333333333,11.3284
38,2018-09-18,1,0,0,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,2,0,0,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,3,1,1,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,4,0,0,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,5,0,0,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,6,1,1,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,7,1,1,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,8,0,0,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,9,1,1,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,10,1,1,"Mature Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,11,2,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,12,0,0,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,13,2,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,14,0,0,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,15,1,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,16,2,2,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,17,1,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,18,3,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,19,3,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,20,3,1,"Transitional Forest","Natural",0.4826,20.5555555555556,0.4826
38,2018-09-18,21,0,0,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,22,0,0,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,23,0,0,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,24,0,0,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,25,0,0,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,26,1,1,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,27,0,0,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,28,1,1,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,29,1,1,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,30,1,1,"Mature Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,31,1,1,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,32,2,1,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,33,1,1,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,34,0,0,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,35,3,1,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,36,2,1,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,37,0,0,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,38,1,1,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,39,0,0,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
38,2018-09-18,40,0,0,"Transitional Forest","Artificial",0.4826,20.5555555555556,0.4826
39,2018-09-25,1,1,1,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,2,0,0,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,3,0,0,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,4,0,0,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,5,0,0,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,6,1,1,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,7,1,1,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,8,0,0,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,9,0,0,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,10,1,1,"Mature Forest","Natural",2.8194,20,3.5814
39,2018-09-25,11,0,0,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,12,0,0,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,13,1,1,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,14,1,1,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,15,3,2,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,16,2,2,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,17,2,1,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,18,2,1,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,19,2,1,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,20,4,1,"Transitional Forest","Natural",2.8194,20,3.5814
39,2018-09-25,21,0,0,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,22,1,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,23,1,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,24,0,0,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,25,1,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,26,3,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,27,1,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,28,1,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,29,0,0,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,30,1,1,"Mature Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,31,0,0,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,32,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,33,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,34,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,35,0,0,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,36,2,1,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,37,2,1,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,38,2,2,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,39,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814
39,2018-09-25,40,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814
40,2018-10-02,1,0,0,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,2,0,0,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,3,1,1,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,4,0,0,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,5,2,1,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,6,3,1,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,7,0,0,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,8,0,0,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,9,2,1,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,10,1,1,"Mature Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,11,0,0,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,12,0,0,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,13,1,1,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,14,0,0,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,15,0,0,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,16,1,1,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,17,0,0,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,18,0,0,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,19,2,1,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,20,1,1,"Transitional Forest","Natural",0.0254,24.4444444444444,0.2286
40,2018-10-02,21,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,22,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,23,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,24,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,25,1,1,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,26,2,1,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,27,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,28,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,29,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,30,0,0,"Mature Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,31,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,32,1,1,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,33,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,34,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,35,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,36,2,1,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,37,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,38,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,39,0,0,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
40,2018-10-02,40,1,1,"Transitional Forest","Artificial",0.0254,24.4444444444444,0.2286
41,2018-10-09,1,0,0,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,2,0,0,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,3,0,0,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,4,0,0,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,5,0,0,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,6,2,1,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,7,1,1,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,8,1,1,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,9,1,1,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,10,1,1,"Mature Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,11,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,12,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,13,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,14,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,15,1,1,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,16,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,17,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,18,2,2,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,19,1,1,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,20,0,0,"Transitional Forest","Natural",0,28.8888888888889,1.3208
41,2018-10-09,21,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,22,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,23,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,24,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,25,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,26,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,27,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,28,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,29,0,0,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,30,1,1,"Mature Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,31,1,1,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,32,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,33,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,34,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,35,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,36,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,37,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,38,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,39,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
41,2018-10-09,40,0,0,"Transitional Forest","Artificial",0,28.8888888888889,1.3208
42,2018-10-16,1,0,0,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,2,1,1,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,3,0,0,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,4,0,0,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,5,1,1,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,6,2,1,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,7,1,1,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,8,0,0,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,9,1,1,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,10,2,1,"Mature Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,11,1,1,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,12,0,0,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,13,0,0,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,14,0,0,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,15,0,0,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,16,1,1,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,17,1,1,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,18,0,0,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,19,2,1,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,20,0,0,"Transitional Forest","Natural",0.127,12.7777777777778,0.4572
42,2018-10-16,21,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,22,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,23,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,24,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,25,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,26,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,27,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,28,1,1,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,29,0,0,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,30,2,1,"Mature Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,31,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,32,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,33,1,1,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,34,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,35,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,36,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,37,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,38,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,39,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
42,2018-10-16,40,0,0,"Transitional Forest","Artificial",0.127,12.7777777777778,0.4572
43,2018-10-23,1,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,2,1,1,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,3,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,4,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,5,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,6,2,1,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,7,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,8,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,9,0,0,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,10,1,1,"Mature Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,11,1,1,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,12,1,1,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,13,0,0,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,14,0,0,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,15,0,0,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,16,0,0,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,17,1,1,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,18,1,1,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,19,0,0,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,20,0,0,"Transitional Forest","Natural",0,12.2222222222222,0.9652
43,2018-10-23,21,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,22,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,23,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,24,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,25,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,26,1,1,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,27,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,28,1,1,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,29,0,0,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,30,1,1,"Mature Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,31,1,1,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,32,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,33,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,34,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,35,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,36,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,37,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,38,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,39,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
43,2018-10-23,40,0,0,"Transitional Forest","Artificial",0,12.2222222222222,0.9652
44,2018-10-30,1,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,2,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,3,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,4,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,5,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,6,1,1,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,7,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,8,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,9,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,10,0,0,"Mature Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,11,0,0,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,12,0,0,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,13,0,0,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,14,0,0,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,15,1,1,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,16,1,1,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,17,0,0,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,18,1,1,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,19,1,1,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,20,0,0,"Transitional Forest","Natural",0.7112,6.66666666666667,5.0546
44,2018-10-30,21,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,22,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,23,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,24,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,25,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,26,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,27,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,28,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,29,0,0,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,30,1,1,"Mature Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,31,0,0,"Transitional Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,32,0,0,"Transitional Forest","Artificial",0.7112,6.66666666666667,5.0546
44,2018-10-30,33,0,0,"Transitional Forest","Artificial",0.7112,6.66666666666667,5.0546
