"Week of Year","Date","Board Number","Site Type","Board Type","Species","Count","Daily Precipitation","Weekly Precipitation","Maximum Temperature"
37,2018-09-11,33,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,34,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,34,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,35,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,35,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,36,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,36,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,37,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,38,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.3333333333333
37,2018-09-11,40,"Transitional Forest","Artificial",NA,0,0.4318,11.3284,18.3333333333333
38,2018-09-18,1,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,2,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,3,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,4,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,5,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,6,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,7,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,8,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,9,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,10,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,11,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,11,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,12,"Transitional Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,13,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,13,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,14,"Transitional Forest","Natural",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,15,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,16,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,16,"Transitional Forest","Natural","SS",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,17,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,18,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,18,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,18,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,19,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,19,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,19,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,20,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,20,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,20,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,21,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,22,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,23,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,24,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,25,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,26,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,27,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,28,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,29,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,30,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,31,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,32,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,32,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,33,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,34,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,35,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,35,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,35,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,36,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,36,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,37,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,38,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.5555555555556
38,2018-09-18,39,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
38,2018-09-18,40,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.5555555555556
39,2018-09-25,1,"Mature Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,2,"Mature Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,3,"Mature Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,4,"Mature Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,5,"Mature Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,6,"Mature Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,7,"Mature Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,8,"Mature Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,9,"Mature Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,10,"Mature Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,11,"Transitional Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,12,"Transitional Forest","Natural",NA,0,2.8194,3.5814,20
39,2018-09-25,13,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,14,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,15,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,15,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,15,"Transitional Forest","Natural","SS",1,2.8194,3.5814,20
39,2018-09-25,16,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,16,"Transitional Forest","Natural","SS",1,2.8194,3.5814,20
39,2018-09-25,17,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,17,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,18,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,18,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,19,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,19,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20
39,2018-09-25,21,"Mature Forest","Artificial",NA,0,2.8194,3.5814,20
39,2018-09-25,22,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,23,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,24,"Mature Forest","Artificial",NA,0,2.8194,3.5814,20
39,2018-09-25,25,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,26,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,26,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,26,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,27,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,28,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,29,"Mature Forest","Artificial",NA,0,2.8194,3.5814,20
39,2018-09-25,30,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,31,"Transitional Forest","Artificial",NA,0,2.8194,3.5814,20
39,2018-09-25,32,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,33,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,34,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,35,"Transitional Forest","Artificial",NA,0,2.8194,3.5814,20
39,2018-09-25,36,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,36,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,37,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,37,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,38,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,38,"Transitional Forest","Artificial","SS",1,2.8194,3.5814,20
39,2018-09-25,39,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
39,2018-09-25,40,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20
40,2018-10-02,1,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,2,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,3,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,4,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,5,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,5,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,6,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,6,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,6,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,7,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,8,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,9,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,9,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,10,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,11,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,12,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,13,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,14,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,15,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,16,"Transitional Forest","Natural","SS",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,17,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,18,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,19,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,19,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,20,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,21,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,22,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,23,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,24,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,25,"Mature Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,26,"Mature Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,26,"Mature Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,27,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,28,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,29,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,30,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,31,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,32,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,33,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,34,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,35,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,36,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,36,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
40,2018-10-02,37,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,38,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,39,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.4444444444444
40,2018-10-02,40,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.4444444444444
41,2018-10-09,1,"Mature Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,2,"Mature Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,3,"Mature Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,4,"Mature Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,5,"Mature Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,6,"Mature Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,6,"Mature Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,7,"Mature Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,8,"Mature Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,9,"Mature Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,10,"Mature Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,11,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,12,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,13,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,14,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,15,"Transitional Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,16,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,17,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,18,"Transitional Forest","Natural","FT",1,0,1.3208,28.8888888888889
41,2018-10-09,18,"Transitional Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,19,"Transitional Forest","Natural","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,20,"Transitional Forest","Natural",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,21,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,22,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,23,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,24,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,25,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,26,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,27,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,28,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,29,"Mature Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,30,"Mature Forest","Artificial","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,31,"Transitional Forest","Artificial","RB",1,0,1.3208,28.8888888888889
41,2018-10-09,32,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,33,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,34,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,35,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,36,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,37,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,38,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,39,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
41,2018-10-09,40,"Transitional Forest","Artificial",NA,0,0,1.3208,28.8888888888889
42,2018-10-16,1,"Mature Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,2,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,3,"Mature Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,4,"Mature Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,5,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,6,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,6,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,7,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,8,"Mature Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,9,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,10,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,10,"Mature Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,11,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,12,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,13,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,14,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,15,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,16,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,17,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,18,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,19,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,19,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,20,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,21,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,22,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,23,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,24,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,25,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,26,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,27,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,28,"Mature Forest","Artificial","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,29,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,30,"Mature Forest","Artificial","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,30,"Mature Forest","Artificial","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,31,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,32,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,33,"Transitional Forest","Artificial","RB",1,0.127,0.4572,12.7777777777778
42,2018-10-16,34,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,35,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,36,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,37,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,38,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,39,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
42,2018-10-16,40,"Transitional Forest","Artificial",NA,0,0.127,0.4572,12.7777777777778
43,2018-10-23,1,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
43,2018-10-23,2,"Mature Forest","Natural","RB",1,0,0.9652,12.2222222222222
43,2018-10-23,3,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
43,2018-10-23,4,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
43,2018-10-23,5,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
43,2018-10-23,6,"Mature Forest","Natural","RB",1,0,0.9652,12.2222222222222
43,2018-10-23,6,"Mature Forest","Natural","RB",1,0,0.9652,12.2222222222222
43,2018-10-23,7,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
43,2018-10-23,8,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
43,2018-10-23,9,"Mature Forest","Natural",NA,0,0,0.9652,12.2222222222222
