"","Week_of_Year","Date","Board_Number","Site_Type","Board_Type","Species","Count","Daily_Precipitation","Weekly_Precipitation","Maximum_Temperature","Year"
"35",37,2018-09-11,28,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"36",37,2018-09-11,29,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"37",37,2018-09-11,29,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"38",37,2018-09-11,30,"Mature Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"39",37,2018-09-11,31,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"40",37,2018-09-11,32,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"41",37,2018-09-11,33,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"42",37,2018-09-11,33,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"43",37,2018-09-11,33,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"44",37,2018-09-11,34,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"45",37,2018-09-11,34,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"46",37,2018-09-11,35,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"47",37,2018-09-11,35,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"48",37,2018-09-11,36,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"49",37,2018-09-11,36,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"50",37,2018-09-11,37,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"51",37,2018-09-11,38,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"52",37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"53",37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"54",37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"55",37,2018-09-11,39,"Transitional Forest","Artificial","RB",1,0.4318,11.3284,18.33333333,2018
"56",37,2018-09-11,40,"Transitional Forest","Artificial",NA,0,0.4318,11.3284,18.33333333,2018
"57",38,2018-09-18,1,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"58",38,2018-09-18,2,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"59",38,2018-09-18,3,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"60",38,2018-09-18,4,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"61",38,2018-09-18,5,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"62",38,2018-09-18,6,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"63",38,2018-09-18,7,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"64",38,2018-09-18,8,"Mature Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"65",38,2018-09-18,9,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"66",38,2018-09-18,10,"Mature Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"67",38,2018-09-18,11,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"68",38,2018-09-18,11,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"69",38,2018-09-18,12,"Transitional Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"70",38,2018-09-18,13,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"71",38,2018-09-18,13,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"72",38,2018-09-18,14,"Transitional Forest","Natural",NA,0,0.4826,0.4826,20.55555556,2018
"73",38,2018-09-18,15,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"74",38,2018-09-18,16,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"75",38,2018-09-18,16,"Transitional Forest","Natural","SS",1,0.4826,0.4826,20.55555556,2018
"76",38,2018-09-18,17,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"77",38,2018-09-18,18,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"78",38,2018-09-18,18,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"79",38,2018-09-18,18,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"80",38,2018-09-18,19,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"81",38,2018-09-18,19,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"82",38,2018-09-18,19,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"83",38,2018-09-18,20,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"84",38,2018-09-18,20,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"85",38,2018-09-18,20,"Transitional Forest","Natural","RB",1,0.4826,0.4826,20.55555556,2018
"86",38,2018-09-18,21,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"87",38,2018-09-18,22,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"88",38,2018-09-18,23,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"89",38,2018-09-18,24,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"90",38,2018-09-18,25,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"91",38,2018-09-18,26,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"92",38,2018-09-18,27,"Mature Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"93",38,2018-09-18,28,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"94",38,2018-09-18,29,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"95",38,2018-09-18,30,"Mature Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"96",38,2018-09-18,31,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"97",38,2018-09-18,32,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"98",38,2018-09-18,32,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"99",38,2018-09-18,33,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"100",38,2018-09-18,34,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"101",38,2018-09-18,35,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"102",38,2018-09-18,35,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"103",38,2018-09-18,35,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"104",38,2018-09-18,36,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"105",38,2018-09-18,36,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"106",38,2018-09-18,37,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"107",38,2018-09-18,38,"Transitional Forest","Artificial","RB",1,0.4826,0.4826,20.55555556,2018
"108",38,2018-09-18,39,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"109",38,2018-09-18,40,"Transitional Forest","Artificial",NA,0,0.4826,0.4826,20.55555556,2018
"110",39,2018-09-25,1,"Mature Forest","Natural","RB",1,2.8194,3.5814,20,2018
"111",39,2018-09-25,2,"Mature Forest","Natural",NA,0,2.8194,3.5814,20,2018
"112",39,2018-09-25,3,"Mature Forest","Natural",NA,0,2.8194,3.5814,20,2018
"113",39,2018-09-25,4,"Mature Forest","Natural",NA,0,2.8194,3.5814,20,2018
"114",39,2018-09-25,5,"Mature Forest","Natural",NA,0,2.8194,3.5814,20,2018
"115",39,2018-09-25,6,"Mature Forest","Natural","RB",1,2.8194,3.5814,20,2018
"116",39,2018-09-25,7,"Mature Forest","Natural","RB",1,2.8194,3.5814,20,2018
"117",39,2018-09-25,8,"Mature Forest","Natural",NA,0,2.8194,3.5814,20,2018
"118",39,2018-09-25,9,"Mature Forest","Natural",NA,0,2.8194,3.5814,20,2018
"119",39,2018-09-25,10,"Mature Forest","Natural","RB",1,2.8194,3.5814,20,2018
"120",39,2018-09-25,11,"Transitional Forest","Natural",NA,0,2.8194,3.5814,20,2018
"121",39,2018-09-25,12,"Transitional Forest","Natural",NA,0,2.8194,3.5814,20,2018
"122",39,2018-09-25,13,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"123",39,2018-09-25,14,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"124",39,2018-09-25,15,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"125",39,2018-09-25,15,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"126",39,2018-09-25,15,"Transitional Forest","Natural","SS",1,2.8194,3.5814,20,2018
"127",39,2018-09-25,16,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"128",39,2018-09-25,16,"Transitional Forest","Natural","SS",1,2.8194,3.5814,20,2018
"129",39,2018-09-25,17,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"130",39,2018-09-25,17,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"131",39,2018-09-25,18,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"132",39,2018-09-25,18,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"133",39,2018-09-25,19,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"134",39,2018-09-25,19,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"135",39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"136",39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"137",39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"138",39,2018-09-25,20,"Transitional Forest","Natural","RB",1,2.8194,3.5814,20,2018
"139",39,2018-09-25,21,"Mature Forest","Artificial",NA,0,2.8194,3.5814,20,2018
"140",39,2018-09-25,22,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"141",39,2018-09-25,23,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"142",39,2018-09-25,24,"Mature Forest","Artificial",NA,0,2.8194,3.5814,20,2018
"143",39,2018-09-25,25,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"144",39,2018-09-25,26,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"145",39,2018-09-25,26,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"146",39,2018-09-25,26,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"147",39,2018-09-25,27,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"148",39,2018-09-25,28,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"149",39,2018-09-25,29,"Mature Forest","Artificial",NA,0,2.8194,3.5814,20,2018
"150",39,2018-09-25,30,"Mature Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"151",39,2018-09-25,31,"Transitional Forest","Artificial",NA,0,2.8194,3.5814,20,2018
"152",39,2018-09-25,32,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"153",39,2018-09-25,33,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"154",39,2018-09-25,34,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"155",39,2018-09-25,35,"Transitional Forest","Artificial",NA,0,2.8194,3.5814,20,2018
"156",39,2018-09-25,36,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"157",39,2018-09-25,36,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"158",39,2018-09-25,37,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"159",39,2018-09-25,37,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"160",39,2018-09-25,38,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"161",39,2018-09-25,38,"Transitional Forest","Artificial","SS",1,2.8194,3.5814,20,2018
"162",39,2018-09-25,39,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"163",39,2018-09-25,40,"Transitional Forest","Artificial","RB",1,2.8194,3.5814,20,2018
"164",40,2018-10-02,1,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"165",40,2018-10-02,2,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"166",40,2018-10-02,3,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"167",40,2018-10-02,4,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"168",40,2018-10-02,5,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"169",40,2018-10-02,5,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"170",40,2018-10-02,6,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"171",40,2018-10-02,6,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"172",40,2018-10-02,6,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"173",40,2018-10-02,7,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"174",40,2018-10-02,8,"Mature Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"175",40,2018-10-02,9,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"176",40,2018-10-02,9,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"177",40,2018-10-02,10,"Mature Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"178",40,2018-10-02,11,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"179",40,2018-10-02,12,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"180",40,2018-10-02,13,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"181",40,2018-10-02,14,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"182",40,2018-10-02,15,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"183",40,2018-10-02,16,"Transitional Forest","Natural","SS",1,0.0254,0.2286,24.44444444,2018
"184",40,2018-10-02,17,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"185",40,2018-10-02,18,"Transitional Forest","Natural",NA,0,0.0254,0.2286,24.44444444,2018
"186",40,2018-10-02,19,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"187",40,2018-10-02,19,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"188",40,2018-10-02,20,"Transitional Forest","Natural","RB",1,0.0254,0.2286,24.44444444,2018
"189",40,2018-10-02,21,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"190",40,2018-10-02,22,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"191",40,2018-10-02,23,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"192",40,2018-10-02,24,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"193",40,2018-10-02,25,"Mature Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"194",40,2018-10-02,26,"Mature Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"195",40,2018-10-02,26,"Mature Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"196",40,2018-10-02,27,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"197",40,2018-10-02,28,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"198",40,2018-10-02,29,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"199",40,2018-10-02,30,"Mature Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"200",40,2018-10-02,31,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"201",40,2018-10-02,32,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"202",40,2018-10-02,33,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"203",40,2018-10-02,34,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"204",40,2018-10-02,35,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"205",40,2018-10-02,36,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"206",40,2018-10-02,36,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"207",40,2018-10-02,37,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"208",40,2018-10-02,38,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"209",40,2018-10-02,39,"Transitional Forest","Artificial",NA,0,0.0254,0.2286,24.44444444,2018
"210",40,2018-10-02,40,"Transitional Forest","Artificial","RB",1,0.0254,0.2286,24.44444444,2018
"211",41,2018-10-09,1,"Mature Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"212",41,2018-10-09,2,"Mature Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"213",41,2018-10-09,3,"Mature Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"214",41,2018-10-09,4,"Mature Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"215",41,2018-10-09,5,"Mature Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"216",41,2018-10-09,6,"Mature Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"217",41,2018-10-09,6,"Mature Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"218",41,2018-10-09,7,"Mature Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"219",41,2018-10-09,8,"Mature Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"220",41,2018-10-09,9,"Mature Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"221",41,2018-10-09,10,"Mature Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"222",41,2018-10-09,11,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"223",41,2018-10-09,12,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"224",41,2018-10-09,13,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"225",41,2018-10-09,14,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"226",41,2018-10-09,15,"Transitional Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"227",41,2018-10-09,16,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"228",41,2018-10-09,17,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"229",41,2018-10-09,18,"Transitional Forest","Natural","FT",1,0,1.3208,28.88888889,2018
"230",41,2018-10-09,18,"Transitional Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"231",41,2018-10-09,19,"Transitional Forest","Natural","RB",1,0,1.3208,28.88888889,2018
"232",41,2018-10-09,20,"Transitional Forest","Natural",NA,0,0,1.3208,28.88888889,2018
"233",41,2018-10-09,21,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"234",41,2018-10-09,22,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"235",41,2018-10-09,23,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"236",41,2018-10-09,24,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"237",41,2018-10-09,25,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"238",41,2018-10-09,26,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"239",41,2018-10-09,27,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"240",41,2018-10-09,28,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"241",41,2018-10-09,29,"Mature Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"242",41,2018-10-09,30,"Mature Forest","Artificial","RB",1,0,1.3208,28.88888889,2018
"243",41,2018-10-09,31,"Transitional Forest","Artificial","RB",1,0,1.3208,28.88888889,2018
"244",41,2018-10-09,32,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"245",41,2018-10-09,33,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"246",41,2018-10-09,34,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"247",41,2018-10-09,35,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"248",41,2018-10-09,36,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"249",41,2018-10-09,37,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"250",41,2018-10-09,38,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"251",41,2018-10-09,39,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"252",41,2018-10-09,40,"Transitional Forest","Artificial",NA,0,0,1.3208,28.88888889,2018
"253",42,2018-10-16,1,"Mature Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"254",42,2018-10-16,2,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"255",42,2018-10-16,3,"Mature Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"256",42,2018-10-16,4,"Mature Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"257",42,2018-10-16,5,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"258",42,2018-10-16,6,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"259",42,2018-10-16,6,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"260",42,2018-10-16,7,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"261",42,2018-10-16,8,"Mature Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"262",42,2018-10-16,9,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"263",42,2018-10-16,10,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"264",42,2018-10-16,10,"Mature Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"265",42,2018-10-16,11,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"266",42,2018-10-16,12,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"267",42,2018-10-16,13,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"268",42,2018-10-16,14,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"269",42,2018-10-16,15,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"270",42,2018-10-16,16,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"271",42,2018-10-16,17,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"272",42,2018-10-16,18,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"273",42,2018-10-16,19,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"274",42,2018-10-16,19,"Transitional Forest","Natural","RB",1,0.127,0.4572,12.77777778,2018
"275",42,2018-10-16,20,"Transitional Forest","Natural",NA,0,0.127,0.4572,12.77777778,2018
"276",42,2018-10-16,21,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.77777778,2018
"277",42,2018-10-16,22,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.77777778,2018
"278",42,2018-10-16,23,"Mature Forest","Artificial",NA,0,0.127,0.4572,12.77777778,2018
