Week_of_Year,Date,Board_Number,Abundance,Richness,Site_Type,Board_Type,Daily_Precipitation,Maximum_Temperature,Weekly_Precipitation
38,9/18/18,21,0,0,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,22,0,0,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,23,0,0,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,24,0,0,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,25,0,0,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,26,1,1,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,27,0,0,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,28,1,1,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,29,1,1,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,30,1,1,Mature Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,31,1,1,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,32,2,1,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,33,1,1,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,34,0,0,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,35,3,1,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,36,2,1,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,37,0,0,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,38,1,1,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,39,0,0,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
38,9/18/18,40,0,0,Transitional Forest,Artificial,0.4826,20.55555556,0.4826
39,9/25/18,1,1,1,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,2,0,0,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,3,0,0,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,4,0,0,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,5,0,0,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,6,1,1,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,7,1,1,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,8,0,0,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,9,0,0,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,10,1,1,Mature Forest,Natural,2.8194,20,3.5814
39,9/25/18,11,0,0,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,12,0,0,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,13,1,1,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,14,1,1,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,15,3,2,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,16,2,2,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,17,2,1,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,18,2,1,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,19,2,1,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,20,4,1,Transitional Forest,Natural,2.8194,20,3.5814
39,9/25/18,21,0,0,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,22,1,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,23,1,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,24,0,0,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,25,1,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,26,3,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,27,1,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,28,1,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,29,0,0,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,30,1,1,Mature Forest,Artificial,2.8194,20,3.5814
39,9/25/18,31,0,0,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,32,1,1,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,33,1,1,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,34,1,1,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,35,0,0,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,36,2,1,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,37,2,1,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,38,2,2,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,39,1,1,Transitional Forest,Artificial,2.8194,20,3.5814
39,9/25/18,40,1,1,Transitional Forest,Artificial,2.8194,20,3.5814
40,10/2/18,1,0,0,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,2,0,0,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,3,1,1,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,4,0,0,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,5,2,1,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,6,3,1,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,7,0,0,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,8,0,0,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,9,2,1,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,10,1,1,Mature Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,11,0,0,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,12,0,0,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,13,1,1,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,14,0,0,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,15,0,0,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,16,1,1,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,17,0,0,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,18,0,0,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,19,2,1,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,20,1,1,Transitional Forest,Natural,0.0254,24.44444444,0.2286
40,10/2/18,21,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,22,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,23,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,24,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,25,1,1,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,26,2,1,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,27,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,28,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,29,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,30,0,0,Mature Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,31,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,32,1,1,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,33,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,34,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,35,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,36,2,1,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,37,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,38,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,39,0,0,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
40,10/2/18,40,1,1,Transitional Forest,Artificial,0.0254,24.44444444,0.2286
41,10/9/18,1,0,0,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,2,0,0,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,3,0,0,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,4,0,0,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,5,0,0,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,6,2,1,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,7,1,1,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,8,1,1,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,9,1,1,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,10,1,1,Mature Forest,Natural,0,28.88888889,1.3208
41,10/9/18,11,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,12,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,13,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,14,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,15,1,1,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,16,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,17,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,18,2,2,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,19,1,1,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,20,0,0,Transitional Forest,Natural,0,28.88888889,1.3208
41,10/9/18,21,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,22,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,23,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,24,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,25,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,26,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,27,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,28,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,29,0,0,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,30,1,1,Mature Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,31,1,1,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,32,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,33,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,34,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,35,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,36,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,37,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,38,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,39,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
41,10/9/18,40,0,0,Transitional Forest,Artificial,0,28.88888889,1.3208
42,10/16/18,1,0,0,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,2,1,1,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,3,0,0,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,4,0,0,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,5,1,1,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,6,2,1,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,7,1,1,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,8,0,0,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,9,1,1,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,10,2,1,Mature Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,11,1,1,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,12,0,0,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,13,0,0,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,14,0,0,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,15,0,0,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,16,1,1,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,17,1,1,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,18,0,0,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,19,2,1,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,20,0,0,Transitional Forest,Natural,0.127,12.77777778,0.4572
42,10/16/18,21,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,22,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,23,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,24,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,25,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,26,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,27,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,28,1,1,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,29,0,0,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,30,2,1,Mature Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,31,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,32,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,33,1,1,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,34,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,35,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,36,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,37,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,38,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,39,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
42,10/16/18,40,0,0,Transitional Forest,Artificial,0.127,12.77777778,0.4572
43,10/23/18,1,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,2,1,1,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,3,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,4,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,5,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,6,2,1,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,7,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,8,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,9,0,0,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,10,1,1,Mature Forest,Natural,0,12.22222222,0.9652
43,10/23/18,11,1,1,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,12,1,1,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,13,0,0,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,14,0,0,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,15,0,0,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,16,0,0,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,17,1,1,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,18,1,1,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,19,0,0,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,20,0,0,Transitional Forest,Natural,0,12.22222222,0.9652
43,10/23/18,21,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,22,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,23,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,24,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,25,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,26,1,1,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,27,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,28,1,1,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,29,0,0,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,30,1,1,Mature Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,31,1,1,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,32,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,33,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,34,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,35,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,36,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,37,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,38,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,39,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
43,10/23/18,40,0,0,Transitional Forest,Artificial,0,12.22222222,0.9652
44,10/30/18,1,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,2,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,3,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,4,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,5,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,6,1,1,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,7,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,8,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,9,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,10,0,0,Mature Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,11,0,0,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,12,0,0,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,13,0,0,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,14,0,0,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,15,1,1,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,16,1,1,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,17,0,0,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,18,1,1,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,19,1,1,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,20,0,0,Transitional Forest,Natural,0.7112,6.666666667,5.0546
44,10/30/18,21,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,22,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,23,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,24,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,25,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,26,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,27,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,28,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,29,0,0,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,30,1,1,Mature Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,31,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,32,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,33,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,34,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,35,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,36,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,37,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,38,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,39,0,0,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
44,10/30/18,40,1,1,Transitional Forest,Artificial,0.7112,6.666666667,5.0546
45,11/6/18,1,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,2,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,3,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,4,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,5,1,1,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,6,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,7,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,8,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,9,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,10,0,0,Mature Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,11,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,12,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,13,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,14,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,15,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,16,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,17,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,18,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,19,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,20,0,0,Transitional Forest,Natural,0.6858,14.44444444,6.35
45,11/6/18,21,0,0,Mature Forest,Artificial,0.6858,14.44444444,6.35
