"","Week_of_Year","Date","Board_Number","Abundance","Richness","Site_Type","Board_Type","Daily_Precipitation","Maximum_Temperature","Weekly_Precipitation","Year"
"29",37,2018-09-11,29,2,1,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"30",37,2018-09-11,30,1,1,"Mature Forest","Artificial",0.4318,18.33333333,11.3284,2018
"31",37,2018-09-11,31,1,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"32",37,2018-09-11,32,1,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"33",37,2018-09-11,33,3,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"34",37,2018-09-11,34,2,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"35",37,2018-09-11,35,2,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"36",37,2018-09-11,36,2,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"37",37,2018-09-11,37,1,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"38",37,2018-09-11,38,1,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"39",37,2018-09-11,39,4,1,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"40",37,2018-09-11,40,0,0,"Transitional Forest","Artificial",0.4318,18.33333333,11.3284,2018
"41",38,2018-09-18,1,0,0,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"42",38,2018-09-18,2,0,0,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"43",38,2018-09-18,3,1,1,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"44",38,2018-09-18,4,0,0,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"45",38,2018-09-18,5,0,0,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"46",38,2018-09-18,6,1,1,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"47",38,2018-09-18,7,1,1,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"48",38,2018-09-18,8,0,0,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"49",38,2018-09-18,9,1,1,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"50",38,2018-09-18,10,1,1,"Mature Forest","Natural",0.4826,20.55555556,0.4826,2018
"51",38,2018-09-18,11,2,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"52",38,2018-09-18,12,0,0,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"53",38,2018-09-18,13,2,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"54",38,2018-09-18,14,0,0,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"55",38,2018-09-18,15,1,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"56",38,2018-09-18,16,2,2,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"57",38,2018-09-18,17,1,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"58",38,2018-09-18,18,3,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"59",38,2018-09-18,19,3,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"60",38,2018-09-18,20,3,1,"Transitional Forest","Natural",0.4826,20.55555556,0.4826,2018
"61",38,2018-09-18,21,0,0,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"62",38,2018-09-18,22,0,0,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"63",38,2018-09-18,23,0,0,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"64",38,2018-09-18,24,0,0,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"65",38,2018-09-18,25,0,0,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"66",38,2018-09-18,26,1,1,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"67",38,2018-09-18,27,0,0,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"68",38,2018-09-18,28,1,1,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"69",38,2018-09-18,29,1,1,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"70",38,2018-09-18,30,1,1,"Mature Forest","Artificial",0.4826,20.55555556,0.4826,2018
"71",38,2018-09-18,31,1,1,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"72",38,2018-09-18,32,2,1,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"73",38,2018-09-18,33,1,1,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"74",38,2018-09-18,34,0,0,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"75",38,2018-09-18,35,3,1,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"76",38,2018-09-18,36,2,1,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"77",38,2018-09-18,37,0,0,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"78",38,2018-09-18,38,1,1,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"79",38,2018-09-18,39,0,0,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"80",38,2018-09-18,40,0,0,"Transitional Forest","Artificial",0.4826,20.55555556,0.4826,2018
"81",39,2018-09-25,1,1,1,"Mature Forest","Natural",2.8194,20,3.5814,2018
"82",39,2018-09-25,2,0,0,"Mature Forest","Natural",2.8194,20,3.5814,2018
"83",39,2018-09-25,3,0,0,"Mature Forest","Natural",2.8194,20,3.5814,2018
"84",39,2018-09-25,4,0,0,"Mature Forest","Natural",2.8194,20,3.5814,2018
"85",39,2018-09-25,5,0,0,"Mature Forest","Natural",2.8194,20,3.5814,2018
"86",39,2018-09-25,6,1,1,"Mature Forest","Natural",2.8194,20,3.5814,2018
"87",39,2018-09-25,7,1,1,"Mature Forest","Natural",2.8194,20,3.5814,2018
"88",39,2018-09-25,8,0,0,"Mature Forest","Natural",2.8194,20,3.5814,2018
"89",39,2018-09-25,9,0,0,"Mature Forest","Natural",2.8194,20,3.5814,2018
"90",39,2018-09-25,10,1,1,"Mature Forest","Natural",2.8194,20,3.5814,2018
"91",39,2018-09-25,11,0,0,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"92",39,2018-09-25,12,0,0,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"93",39,2018-09-25,13,1,1,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"94",39,2018-09-25,14,1,1,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"95",39,2018-09-25,15,3,2,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"96",39,2018-09-25,16,2,2,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"97",39,2018-09-25,17,2,1,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"98",39,2018-09-25,18,2,1,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"99",39,2018-09-25,19,2,1,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"100",39,2018-09-25,20,4,1,"Transitional Forest","Natural",2.8194,20,3.5814,2018
"101",39,2018-09-25,21,0,0,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"102",39,2018-09-25,22,1,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"103",39,2018-09-25,23,1,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"104",39,2018-09-25,24,0,0,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"105",39,2018-09-25,25,1,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"106",39,2018-09-25,26,3,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"107",39,2018-09-25,27,1,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"108",39,2018-09-25,28,1,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"109",39,2018-09-25,29,0,0,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"110",39,2018-09-25,30,1,1,"Mature Forest","Artificial",2.8194,20,3.5814,2018
"111",39,2018-09-25,31,0,0,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"112",39,2018-09-25,32,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"113",39,2018-09-25,33,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"114",39,2018-09-25,34,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"115",39,2018-09-25,35,0,0,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"116",39,2018-09-25,36,2,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"117",39,2018-09-25,37,2,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"118",39,2018-09-25,38,2,2,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"119",39,2018-09-25,39,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"120",39,2018-09-25,40,1,1,"Transitional Forest","Artificial",2.8194,20,3.5814,2018
"121",40,2018-10-02,1,0,0,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"122",40,2018-10-02,2,0,0,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"123",40,2018-10-02,3,1,1,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"124",40,2018-10-02,4,0,0,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"125",40,2018-10-02,5,2,1,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"126",40,2018-10-02,6,3,1,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"127",40,2018-10-02,7,0,0,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"128",40,2018-10-02,8,0,0,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"129",40,2018-10-02,9,2,1,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"130",40,2018-10-02,10,1,1,"Mature Forest","Natural",0.0254,24.44444444,0.2286,2018
"131",40,2018-10-02,11,0,0,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"132",40,2018-10-02,12,0,0,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"133",40,2018-10-02,13,1,1,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"134",40,2018-10-02,14,0,0,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"135",40,2018-10-02,15,0,0,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"136",40,2018-10-02,16,1,1,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"137",40,2018-10-02,17,0,0,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"138",40,2018-10-02,18,0,0,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"139",40,2018-10-02,19,2,1,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"140",40,2018-10-02,20,1,1,"Transitional Forest","Natural",0.0254,24.44444444,0.2286,2018
"141",40,2018-10-02,21,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"142",40,2018-10-02,22,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"143",40,2018-10-02,23,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"144",40,2018-10-02,24,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"145",40,2018-10-02,25,1,1,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"146",40,2018-10-02,26,2,1,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"147",40,2018-10-02,27,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"148",40,2018-10-02,28,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"149",40,2018-10-02,29,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"150",40,2018-10-02,30,0,0,"Mature Forest","Artificial",0.0254,24.44444444,0.2286,2018
"151",40,2018-10-02,31,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"152",40,2018-10-02,32,1,1,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"153",40,2018-10-02,33,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"154",40,2018-10-02,34,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"155",40,2018-10-02,35,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"156",40,2018-10-02,36,2,1,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"157",40,2018-10-02,37,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"158",40,2018-10-02,38,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"159",40,2018-10-02,39,0,0,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"160",40,2018-10-02,40,1,1,"Transitional Forest","Artificial",0.0254,24.44444444,0.2286,2018
"161",41,2018-10-09,1,0,0,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"162",41,2018-10-09,2,0,0,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"163",41,2018-10-09,3,0,0,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"164",41,2018-10-09,4,0,0,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"165",41,2018-10-09,5,0,0,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"166",41,2018-10-09,6,2,1,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"167",41,2018-10-09,7,1,1,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"168",41,2018-10-09,8,1,1,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"169",41,2018-10-09,9,1,1,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"170",41,2018-10-09,10,1,1,"Mature Forest","Natural",0,28.88888889,1.3208,2018
"171",41,2018-10-09,11,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"172",41,2018-10-09,12,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"173",41,2018-10-09,13,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"174",41,2018-10-09,14,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"175",41,2018-10-09,15,1,1,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"176",41,2018-10-09,16,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"177",41,2018-10-09,17,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"178",41,2018-10-09,18,2,2,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"179",41,2018-10-09,19,1,1,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"180",41,2018-10-09,20,0,0,"Transitional Forest","Natural",0,28.88888889,1.3208,2018
"181",41,2018-10-09,21,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"182",41,2018-10-09,22,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"183",41,2018-10-09,23,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"184",41,2018-10-09,24,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"185",41,2018-10-09,25,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"186",41,2018-10-09,26,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"187",41,2018-10-09,27,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"188",41,2018-10-09,28,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"189",41,2018-10-09,29,0,0,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"190",41,2018-10-09,30,1,1,"Mature Forest","Artificial",0,28.88888889,1.3208,2018
"191",41,2018-10-09,31,1,1,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"192",41,2018-10-09,32,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"193",41,2018-10-09,33,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"194",41,2018-10-09,34,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"195",41,2018-10-09,35,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"196",41,2018-10-09,36,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"197",41,2018-10-09,37,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"198",41,2018-10-09,38,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"199",41,2018-10-09,39,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"200",41,2018-10-09,40,0,0,"Transitional Forest","Artificial",0,28.88888889,1.3208,2018
"201",42,2018-10-16,1,0,0,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"202",42,2018-10-16,2,1,1,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"203",42,2018-10-16,3,0,0,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"204",42,2018-10-16,4,0,0,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"205",42,2018-10-16,5,1,1,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"206",42,2018-10-16,6,2,1,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"207",42,2018-10-16,7,1,1,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"208",42,2018-10-16,8,0,0,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"209",42,2018-10-16,9,1,1,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"210",42,2018-10-16,10,2,1,"Mature Forest","Natural",0.127,12.77777778,0.4572,2018
"211",42,2018-10-16,11,1,1,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"212",42,2018-10-16,12,0,0,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"213",42,2018-10-16,13,0,0,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"214",42,2018-10-16,14,0,0,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"215",42,2018-10-16,15,0,0,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"216",42,2018-10-16,16,1,1,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"217",42,2018-10-16,17,1,1,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"218",42,2018-10-16,18,0,0,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"219",42,2018-10-16,19,2,1,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"220",42,2018-10-16,20,0,0,"Transitional Forest","Natural",0.127,12.77777778,0.4572,2018
"221",42,2018-10-16,21,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"222",42,2018-10-16,22,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"223",42,2018-10-16,23,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"224",42,2018-10-16,24,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"225",42,2018-10-16,25,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"226",42,2018-10-16,26,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"227",42,2018-10-16,27,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"228",42,2018-10-16,28,1,1,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"229",42,2018-10-16,29,0,0,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"230",42,2018-10-16,30,2,1,"Mature Forest","Artificial",0.127,12.77777778,0.4572,2018
"231",42,2018-10-16,31,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"232",42,2018-10-16,32,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"233",42,2018-10-16,33,1,1,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"234",42,2018-10-16,34,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"235",42,2018-10-16,35,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"236",42,2018-10-16,36,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"237",42,2018-10-16,37,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"238",42,2018-10-16,38,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"239",42,2018-10-16,39,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"240",42,2018-10-16,40,0,0,"Transitional Forest","Artificial",0.127,12.77777778,0.4572,2018
"241",43,2018-10-23,1,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"242",43,2018-10-23,2,1,1,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"243",43,2018-10-23,3,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"244",43,2018-10-23,4,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"245",43,2018-10-23,5,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"246",43,2018-10-23,6,2,1,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"247",43,2018-10-23,7,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"248",43,2018-10-23,8,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"249",43,2018-10-23,9,0,0,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"250",43,2018-10-23,10,1,1,"Mature Forest","Natural",0,12.22222222,0.9652,2018
"251",43,2018-10-23,11,1,1,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"252",43,2018-10-23,12,1,1,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"253",43,2018-10-23,13,0,0,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"254",43,2018-10-23,14,0,0,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"255",43,2018-10-23,15,0,0,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"256",43,2018-10-23,16,0,0,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"257",43,2018-10-23,17,1,1,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"258",43,2018-10-23,18,1,1,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"259",43,2018-10-23,19,0,0,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"260",43,2018-10-23,20,0,0,"Transitional Forest","Natural",0,12.22222222,0.9652,2018
"261",43,2018-10-23,21,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"262",43,2018-10-23,22,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"263",43,2018-10-23,23,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"264",43,2018-10-23,24,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"265",43,2018-10-23,25,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"266",43,2018-10-23,26,1,1,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"267",43,2018-10-23,27,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"268",43,2018-10-23,28,1,1,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"269",43,2018-10-23,29,0,0,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"270",43,2018-10-23,30,1,1,"Mature Forest","Artificial",0,12.22222222,0.9652,2018
"271",43,2018-10-23,31,1,1,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"272",43,2018-10-23,32,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"273",43,2018-10-23,33,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"274",43,2018-10-23,34,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"275",43,2018-10-23,35,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"276",43,2018-10-23,36,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"277",43,2018-10-23,37,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"278",43,2018-10-23,38,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"279",43,2018-10-23,39,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"280",43,2018-10-23,40,0,0,"Transitional Forest","Artificial",0,12.22222222,0.9652,2018
"281",44,2018-10-30,1,0,0,"Mature Forest","Natural",0.7112,6.666666667,5.0546,2018
"282",44,2018-10-30,2,0,0,"Mature Forest","Natural",0.7112,6.666666667,5.0546,2018
"283",44,2018-10-30,3,0,0,"Mature Forest","Natural",0.7112,6.666666667,5.0546,2018
"284",44,2018-10-30,4,0,0,"Mature Forest","Natural",0.7112,6.666666667,5.0546,2018
"285",44,2018-10-30,5,0,0,"Mature Forest","Natural",0.7112,6.666666667,5.0546,2018
